GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projecto Leilões Online,business,User,332,307,32,26,68,78,29,22,8,14
Projecto Leilões Online,business,Licitacao,61,23,0,0,8,8,3,3,3,3
Projecto Leilões Online,business,TipoDeLeilao,0,21,0,0,0,4,0,1,0,1
Projecto Leilões Online,business,HistoricoDeLeiloes,77,0,4,0,13,0,7,0,5,0
Projecto Leilões Online,business,Reputacao,4,57,2,3,2,14,2,6,0,4
Projecto Leilões Online,business,Individual,6,0,0,0,2,0,1,0,1,0
Projecto Leilões Online,business,CatalogoDeLeiloes,105,33,8,0,18,7,6,4,2,4
Projecto Leilões Online,business,Leilao,233,147,17,15,31,48,13,19,3,13
Projecto Leilões Online,business,Composto,39,0,2,0,9,0,4,0,3,0
Projecto Leilões Online,business,Artigo,55,19,0,0,10,8,4,3,4,3
Projecto Leilões Online,business,StatusDoLeilao,0,39,0,0,0,7,0,1,0,1
Projecto Leilões Online,client,Cliente1,333,0,0,0,91,0,2,0,2,0
Projecto Leilões Online,client,Cliente2,252,0,0,0,62,0,2,0,2,0
Projecto Leilões Online,client,ClienteInterativo,426,0,40,0,102,0,23,0,3,0
